@relation test

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age { "G1","G2","G3","G4","G5","G6","G7" }
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute decks { 'A','B','C','D','E','F','G','T' }
@attribute cabinNum { '0','1','10','101','102','103','104','106','11','110','111','118','12','121','123','124','125','126','128','14','148','15','16','17','18','19','2','20','21','22','23','24','25','26','28','3','30','31','32','33','34','35','36','37','38','39','4','40','41','42','44','45','46','47','48','49','5','50','52','54','56','58','6','63','65','67','68','69','7','70','71','73','77','78','79','8','80','82','83','85','86','87','9','90','91','92','93','94','95','99' }
@attribute survived {0,1}

@data


3,"male","G4",0,0,7.8292,"Q",?,?,?
3,"female","G5",1,0,7,"S",?,?,?
2,"male","G7",0,0,9.6875,"Q",?,?,?
3,"male","G3",0,0,8.6625,"S",?,?,?
3,"female","G3",1,1,12.2875,"S",?,?,?
3,"male","G2",0,0,9.225,"S",?,?,?
3,"female","G4",0,0,7.6292,"Q",?,?,?
2,"male","G3",1,1,29,"S",?,?,?
3,"female","G2",0,0,7.2292,"C",?,?,?
3,"male","G3",2,0,24.15,"S",?,?,?
3,"male","G4",0,0,7.8958,"S",?,?,?
1,"male","G5",0,0,26,"S",?,?,?
1,"female","G3",1,0,82.2667,"S","B","5",?
2,"male","G7",1,0,26,"S",?,?,?
1,"female","G5",1,0,61.175,"S","E","1",?
2,"female","G3",1,0,27.7208,"C",?,?,?
2,"male","G4",0,0,12.35,"Q",?,?,?
3,"male","G3",0,0,7.225,"C",?,?,?
3,"female","G3",1,0,7.925,"S",?,?,?
3,"female","G5",0,0,7.225,"C",?,?,?
1,"male","G6",1,0,59.4,"C",?,?,?
3,"male","G1",0,1,3.1708,"S",?,?,?
1,"female","G4",0,0,31.6833,"S",?,?,?
1,"male","G3",0,1,61.3792,"C",?,?,?
1,"female","G5",1,3,262.375,"C","B",?,?
3,"male","G6",1,0,14.5,"S",?,?,?
1,"female","G3",0,1,61.9792,"C","B","6",?
3,"male","G3",0,0,7.225,"C",?,?,?
1,"male","G5",0,0,30.5,"S","A","1",?
3,"male","G4",2,0,21.6792,"C",?,?,?
2,"male","G6",1,0,26,"S",?,?,?
2,"male","G3",2,0,31.5,"S",?,?,?
3,"female","G4",1,2,20.575,"S",?,?,?
3,"female","G4",1,2,23.45,"S",?,?,?
1,"male","G4",1,0,57.75,"C","C","8",?
3,"male","G2",0,0,7.2292,"C",?,?,?
3,"female","G4",0,0,8.05,"S",?,?,?
3,"female","G3",0,0,8.6625,"S",?,?,?
3,"male","G3",0,0,9.5,"S",?,?,?
3,"male","G4",0,0,56.4958,"S",?,?,?
3,"male","G4",0,1,13.4167,"C",?,?,?
1,"male","G4",0,0,26.55,"S","D","4",?
3,"male","G5",0,0,7.85,"S",?,?,?
2,"female","G4",0,0,13,"S",?,?,?
1,"female","G5",1,0,52.5542,"S","D","9",?
3,"male","G3",0,0,7.925,"S",?,?,?
1,"male","G5",0,0,29.7,"C","A",?,?
3,"male","G4",0,0,7.75,"Q",?,?,?
1,"female","G7",0,0,76.2917,"C","D","5",?
3,"female","G4",0,2,15.9,"S",?,?,?
