@relation train

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute decks { 'A','B','C','D','E','F','G','T' }
@attribute cabinNum { '0','1','10','101','102','103','104','106','11','110','111','118','12','121','123','124','125','126','128','14','148','15','16','17','18','19','2','20','21','22','23','24','25','26','28','3','30','31','32','33','34','35','36','37','38','39','4','40','41','42','44','45','46','47','48','49','5','50','52','54','56','58','6','63','65','67','68','69','7','70','71','73','77','78','79','8','80','82','83','85','86','87','9','90','91','92','93','94','95','99' }
@attribute title { "Mr","Mrs","Miss","Master","Other" }
@attribute survived {0,1}

@data

3,"male",34.5,0,0,7.8292,"Q",?,?,"Mr",?
3,"female",47,1,0,7,"S",?,?,"Mrs",?
2,"male",62,0,0,9.6875,"Q",?,?,"Mr",?
3,"male",27,0,0,8.6625,"S",?,?,"Mr",?
3,"female",22,1,1,12.2875,"S",?,?,"Mrs",?
3,"male",14,0,0,9.225,"S",?,?,"Mr",?
3,"female",30,0,0,7.6292,"Q",?,?,"Miss",?
2,"male",26,1,1,29,"S",?,?,"Mr",?
3,"female",18,0,0,7.2292,"C",?,?,"Mrs",?
3,"male",21,2,0,24.15,"S",?,?,"Mr",?
3,"male",32,0,0,7.8958,"S",?,?,"Mr",?
1,"male",46,0,0,26,"S",?,?,"Mr",?
1,"female",23,1,0,82.2667,"S","B","5","Mrs",?
2,"male",63,1,0,26,"S",?,?,"Mr",?
1,"female",47,1,0,61.175,"S","E","1","Mrs",?
2,"female",24,1,0,27.7208,"C",?,?,"Mrs",?
2,"male",35,0,0,12.35,"Q",?,?,"Mr",?
3,"male",21,0,0,7.225,"C",?,?,"Mr",?
3,"female",27,1,0,7.925,"S",?,?,"Miss",?
3,"female",45,0,0,7.225,"C",?,?,"Mrs",?
1,"male",55,1,0,59.4,"C",?,?,"Mr",?
3,"male",9,0,1,3.1708,"S",?,?,"Master",?
1,"female",35.7,0,0,31.6833,"S",?,?,"Mrs",?
1,"male",21,0,1,61.3792,"C",?,?,"Mr",?
1,"female",48,1,3,262.375,"C","B",?,"Mrs",?
3,"male",50,1,0,14.5,"S",?,?,"Mr",?
1,"female",22,0,1,61.9792,"C","B","6","Miss",?
3,"male",22.5,0,0,7.225,"C",?,?,"Mr",?
1,"male",41,0,0,30.5,"S","A","1","Mr",?
3,"male",32,2,0,21.6792,"C",?,?,"Mr",?
2,"male",50,1,0,26,"S",?,?,"Mr",?
2,"male",24,2,0,31.5,"S",?,?,"Mr",?
3,"female",33,1,2,20.575,"S",?,?,"Mrs",?
3,"female",35.7,1,2,23.45,"S",?,?,"Mrs",?
1,"male",30,1,0,57.75,"C","C","8","Mr",?
3,"male",18.5,0,0,7.2292,"C",?,?,"Mr",?
3,"female",21.8,0,0,8.05,"S",?,?,"Miss",?
3,"female",21,0,0,8.6625,"S",?,?,"Miss",?
3,"male",25,0,0,9.5,"S",?,?,"Mr",?
3,"male",32,0,0,56.4958,"S",?,?,"Mr",?
3,"male",39,0,1,13.4167,"C",?,?,"Mr",?
1,"male",32,0,0,26.55,"S","D","4","Mr",?
3,"male",41,0,0,7.85,"S",?,?,"Mr",?
2,"female",30,0,0,13,"S",?,?,"Mrs",?
1,"female",45,1,0,52.5542,"S","D","9","Mrs",?
3,"male",25,0,0,7.925,"S",?,?,"Mr",?
1,"male",45,0,0,29.7,"C","A",?,"Mr",?
3,"male",32,0,0,7.75,"Q",?,?,"Mr",?
1,"female",60,0,0,76.2917,"C","D","5","Mrs",?
3,"female",36,0,2,15.9,"S",?,?,"Mrs",?
1,"male",24,1,0,60,"S","C","1","Mr",?
2,"male",27,0,0,15.0333,"C",?,?,"Mr",?
2,"female",20,2,1,23,"S",?,?,"Miss",?
1,"female",28,3,2,263,"S","C",?,"Miss",?
2,"male",32,0,0,15.5792,"C",?,?,"Mr",?
3,"male",10,4,1,29.125,"Q",?,?,"Master",?
3,"male",35,0,0,7.8958,"S",?,?,"Mr",?
3,"male",25,0,0,7.65,"S","F",?,"Mr",?
3,"male",32,1,0,16.1,"S",?,?,"Mr",?
1,"female",36,0,0,262.375,"C","B","1","Miss",?
3,"male",17,0,0,7.8958,"S",?,?,"Mr",?
2,"male",32,0,0,13.5,"S",?,?,"Mr",?
3,"male",18,0,0,7.75,"S",?,?,"Mr",?
3,"female",22,0,0,7.725,"Q",?,?,"Miss",?
1,"male",13,2,2,262.375,"C","B",?,"Master",?
2,"female",35.7,0,0,21,"S",?,?,"Mrs",?
3,"female",18,0,0,7.8792,"Q",?,?,"Miss",?
1,"male",47,0,0,42.4,"S",?,?,"Mr",?
1,"male",31,0,0,28.5375,"C","C","3","Mr",?
1,"female",60,1,4,263,"S","C",?,"Mrs",?
3,"female",24,0,0,7.75,"Q",?,?,"Miss",?
3,"male",21,0,0,7.8958,"S",?,?,"Mr",?
3,"female",29,0,0,7.925,"S",?,?,"Miss",?
1,"male",28.5,0,0,27.7208,"C","D","3","Mr",?
1,"female",35,0,0,211.5,"C","C","30","Miss",?
1,"male",32.5,0,0,211.5,"C","C","32","Mr",?
3,"male",32,0,0,8.05,"S",?,?,"Mr",?
1,"female",55,2,0,25.7,"S","C","1","Mrs",?
2,"male",30,0,0,13,"S",?,?,"Mr",?
3,"female",24,0,0,7.75,"Q",?,?,"Miss",?
3,"male",6,1,1,15.2458,"C",?,?,"Master",?
1,"male",67,1,0,221.7792,"S","C",?,"Mr",?
1,"male",49,0,0,26,"S",?,?,"Mr",?
3,"male",32,0,0,7.8958,"S",?,?,"Mr",?
2,"male",32,0,0,10.7083,"Q",?,?,"Mr",?
3,"male",32,1,0,14.4542,"C",?,?,"Mr",?
3,"female",27,0,0,7.8792,"Q",?,?,"Miss",?
3,"female",18,0,0,8.05,"S",?,?,"Miss",?
3,"female",?,0,0,7.75,"Q",?,?,"Other",?
2,"male",2,1,1,23,"S",?,?,"Master",?
3,"female",22,1,0,13.9,"S",?,?,"Mrs",?
3,"male",32,0,0,7.775,"S",?,?,"Mr",?
1,"female",27,1,2,52,"S","B","1","Mrs",?
3,"male",32,0,0,8.05,"S",?,?,"Mr",?
1,"male",25,0,0,26,"C",?,?,"Mr",?
3,"male",25,0,0,7.7958,"S",?,?,"Mr",?
1,"female",76,1,0,78.85,"S","C","6","Mrs",?
3,"male",29,0,0,7.925,"S",?,?,"Mr",?
3,"female",20,0,0,7.8542,"S",?,?,"Miss",?
3,"male",33,0,0,8.05,"S",?,?,"Mr",?
1,"female",43,1,0,55.4417,"C","C","16","Mrs",?
2,"male",27,1,0,26,"S",?,?,"Mr",?
3,"male",32,0,0,7.75,"Q",?,?,"Mr",?
3,"male",26,0,0,7.775,"S",?,?,"Mr",?
3,"female",16,1,1,8.5167,"C",?,?,"Mrs",?
3,"male",28,0,0,22.525,"S",?,?,"Mr",?
3,"male",21,0,0,7.8208,"Q",?,?,"Mr",?
3,"male",32,0,0,7.75,"Q",?,?,"Mr",?
3,"male",32,0,0,8.7125,"S",?,?,"Mr",?
2,"male",18.5,0,0,13,"S","F",?,"Mr",?
2,"male",41,0,0,15.0458,"C",?,?,"Mr",?
3,"female",21.8,0,0,7.7792,"Q",?,?,"Miss",?
1,"female",36,0,0,31.6792,"C","A","9","Miss",?
3,"female",18.5,0,0,7.2833,"Q",?,?,"Miss",?
1,"female",63,1,0,221.7792,"S","C",?,"Mrs",?
3,"male",18,1,0,14.4542,"C",?,?,"Mr",?
3,"male",32,0,0,6.4375,"C",?,?,"Mr",?
3,"female",1,1,1,16.7,"S","G",?,"Miss",?
1,"male",36,0,0,75.2417,"C","C",?,"Mr",?
2,"female",29,1,0,26,"S",?,?,"Mrs",?
2,"female",12,0,0,15.75,"S",?,?,"Miss",?
3,"male",32,1,0,7.75,"Q",?,?,"Mr",?
1,"female",35,1,0,57.75,"C","C","8","Mrs",?
3,"male",28,0,0,7.25,"S",?,?,"Mr",?
3,"male",32,0,0,7.75,"Q",?,?,"Mr",?
3,"female",17,0,1,16.1,"S",?,?,"Miss",?
3,"male",22,0,0,7.7958,"S",?,?,"Mr",?
3,"female",21.8,2,0,23.25,"Q",?,?,"Miss",?
2,"male",42,0,0,13,"S",?,?,"Mr",?
3,"male",24,0,0,8.05,"S",?,?,"Mr",?
