@relation train

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age { "G1","G2","G3","G4","G5","G6","G7" }
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute decks { 'A','B','C','D','E','F','G','T' }
@attribute cabinNum { '0','1','10','101','102','103','104','106','11','110','111','118','12','121','123','124','125','126','128','14','148','15','16','17','18','19','2','20','21','22','23','24','25','26','28','3','30','31','32','33','34','35','36','37','38','39','4','40','41','42','44','45','46','47','48','49','5','50','52','54','56','58','6','63','65','67','68','69','7','70','71','73','77','78','79','8','80','82','83','85','86','87','9','90','91','92','93','94','95','99' }
@attribute survived {0,1}

@data

3,"male","G3",1,0,7.25,"S",?,?,0
1,"female","G4",1,0,71.2833,"C","C","85",1
3,"female","G3",0,0,7.925,"S",?,?,1
1,"female","G4",1,0,53.1,"S","C","123",1
3,"male","G4",0,0,8.05,"S",?,?,0
3,"male","G4",0,0,8.4583,"Q",?,?,0
1,"male","G6",0,0,51.8625,"S","E","46",0
3,"male","G1",3,1,21.075,"S",?,?,0
3,"female","G3",0,2,11.1333,"S",?,?,1
2,"female","G2",1,0,30.0708,"C",?,?,1
3,"female","G1",1,1,16.7,"S","G","6",1
1,"female","G6",0,0,26.55,"S","C","103",1
3,"male","G3",0,0,8.05,"S",?,?,0
3,"male","G4",1,5,31.275,"S",?,?,0
3,"female","G2",0,0,7.8542,"S",?,?,0
2,"female","G6",0,0,16,"S",?,?,1
3,"male","G1",4,1,29.125,"Q",?,?,0
2,"male","G4",0,0,13,"S",?,?,1
3,"female","G4",1,0,18,"S",?,?,0
3,"female","G4",0,0,7.225,"C",?,?,1
2,"male","G4",0,0,26,"S",?,?,0
2,"male","G4",0,0,13,"S","D","56",1
3,"female","G2",0,0,8.0292,"Q",?,?,1
1,"male","G3",0,0,35.5,"S","A","6",1
3,"female","G1",3,1,21.075,"S",?,?,0
3,"female","G4",1,5,31.3875,"S",?,?,1
